#Table1
GalaxyID,Redshift
1237645879551000764,0.3996609
1237645879551066262,0.03212454
1237645879562928144,0.3120482
1237645879562928258,0.2004682
1237645879562928805,0.7527305
1237645879573873373,0.5048684
1237645879577477252,0.1106111
1237645879577739681,0.2937785
1237645879577936138,0.07429758
1237645879578460255,0.1213151
1237645879578460271,0.04876465
1237645879578460507,0.0488077
1237645879579967591,0.1317873
1237645879580098737,1.837838
1237645941824356443,0.04028672
1237645941824356668,0.3667441
1237645941824357025,0.6265994
1237645942898229350,0.0001671379
1237645942898229471,8.201628E-05
1237645942898230097,1.570309
1237645942898230100,0.5112194
1237645942898230126,2.276326
1237645942898230422,0.6881006
1237645942904389827,0.04265009
1237645942904455388,0.0003130087
1237645942904520927,0.201277
1237645942904586466,0.0001493801
1237645942904717681,0.5083391
1237645942904783006,0.19464
1237645942904914122,0.2994811
1237645942905045292,0.3065799
1237645942905110768,0.3097279
1237645942905110842,0.4469347
1237645942905241816,0.3311663
1237645942905242169,0.2950576
1237645942905308066,0.5315121
1237645942905438473,0.0254747
1237645942905438495,0.03616738
1237645942905438496,0.0359273
1237645942905438525,0.1603132
1237645942905503983,0.1601027
1237645942905504034,0.16669
1237645942905504040,0.1643605
1237645942905504072,0.3491151
1237645942905504193,0.1647512
1237645942905504327,0.3121592
1237645942905569462,0.1598198
1237645942905569521,0.0002120852
1237645942905569536,0.177241
1237645942905569544,0.1600642
1237645942905569550,0.1776698
1237645942905569555,0.2456205
1237645942905569679,0.499967
1237645942905569773,0.3364788
1237645942905569896,0.2452311
1237645942905634844,0.3169449
1237645942905634929,1.967009
1237645942905634957,0.1593094
1237645942905634975,0.135144
1237645942905634991,0.1297809
1237645942905635004,0.1315637
1237645942905635005,0.1333835
1237645942905635032,0.2465844
1237645942905635068,0.1355777
1237645942905635071,0.1320954
1237645942905635109,0.3272851
1237645942905635146,0.1299547
1237645942905635180,0.3261498
1237645942905635226,0.1732017
1237645942905635256,0.3937556
1237645942905635298,0.1598828
1237645942905635342,0.3616371
1237645942905635435,0.2699885
1237645942905635440,0.2330052
1237645942905635444,0.5074175
1237645942905635463,0.3083879
1237645942905635472,0.2457161
1237645942905700356,8.889643E-05
1237645942905700478,0.1314003
1237645942905700479,0.1306191
1237645942905700553,1.429148
1237645942905700561,0.1318834
1237645942905700564,0.1353511
1237645942905700585,0.2418127
1237645942905700587,0.1318457
1237645942905700593,0.132174
1237645942905700594,0.1351828
1237645942905700711,0.5009795
1237645942905700828,0.5054128
1237645942905701086,0.4737468
1237645942905765958,0.0002609348
1237645942905766109,0.1588084
1237645942905766132,0.1249654
1237645942905766142,0.1725226
1237645942905766165,0.2349057
1237645942905766242,0.1252175
1237645942905766350,0.132197
1237645942905766378,0.2337731
1237645942905831442,0.6822563
1237645942905831467,0.2464816
1237645942905831562,0.0001166088
1237645942905831605,7.551349E-05
1237645942905831607,1.547692
1237645942905831654,1.244225
1237645942905831669,0.1671959
1237645942905831709,0.1345017
1237645942905831720,0.1723519
1237645942905831780,0.08220381
1237645942905832091,0.1671552
1237645942905896989,0.1653405
1237645942905897089,0.0006643924
1237645942905897107,0.08295874
1237645942905897117,0.08232159
1237645942905897152,0.1654301
1237645942905897179,0.0002026054
1237645942905897218,0.08173548
1237645942905897335,0.0819518
1237645942905897471,0.2358172
1237645942905897517,0.240065
1237645942905962547,0.1506906
1237645942905962575,1.161747
1237645942905962656,5.016178E-05
1237645942905962737,0.2485852
1237645942905962758,0.1692383
1237645942905962829,0.2234489
1237645942905962934,0.2402734
1237645942905963091,0.3810692
1237645942905963160,0.3671646
1237645942906028070,4.655017E-05
1237645942906028116,0.0006135278
1237645942906028124,0.0002495858
1237645942906028178,0.1706498
1237645942906028179,0.1985118
1237645942906028201,0.3231319
1237645942906028225,0.1698315
1237645942906028249,8.113415E-05
1237645942906028261,0.2473035
1237645942906028262,0.1706802
1237645942906028313,0.3258542
1237645942906028426,0.3684698
1237645942906028440,0.3686946
1237645942906028449,0.2162786
1237645942906028511,6.449718
1237645942906028522,0.2698921
1237645942906028543,0.05351376
1237645942906093750,0.246883
1237645942906093885,0.1981291
1237645942906093991,0.1498954
1237645942906159240,0.1835155
1237645942906159271,0.2121624
1237645942906159404,0.1829526
1237645942906159470,0.2097104
1237645942906159530,0.1688475
1237645942906224685,0.06234159
1237645942906224860,0.2749264
1237645942906224891,0.2688016
1237645942906225020,0.140396
1237645942906225023,0.4112562
1237645942906290310,0.3295562
1237645942906290409,1.263038E-05
1237645942906290513,0.2154126
1237645942906290775,0.317386
1237645943433396364,9.134632E-05
1237645943433461933,0.1323461
1237645943433659112,0.4615514
1237645943433724239,0.583263
1237645943433855052,0.0001035243
1237645943434641602,0.5916583
1237645943434642261,0.7679625
1237645943434969150,0.0003989428
1237645943434969245,0.0001675098
1237645943434969247,0.2178384
1237645943434969249,4.691334E-05
1237645943434969267,9.672801E-05
1237645943434969995,0.812097
1237645943435034677,0.0007481935
1237645943435034762,1.096189
1237645943435034775,0.0001238566
1237645943435034783,4.973223E-06
1237645943435034831,0.0001892717
1237645943435034856,0.0003027859
1237645943435034868,0.2023623
1237645943435034871,0.3993466
1237645943435034889,1.280083
1237645943435034915,0.5271932
1237645943435034939,1.047137
1237645943435034990,0.02843474
1237645943435035137,1.24222
1237645943973609503,1.118061
1237645943973609569,0.1323255
1237645943973609570,0.003569196
1237645943973609571,0.06360599
1237645943973609574,1.185911
1237645943973609599,0.0002448887
1237645943973609608,0.1514933
1237645943973609616,0.07254888
1237645943973609618,0.07445111
1237645943973609651,0.1095859
1237645943973609661,5.094727E-05
1237645943973609663,8.636532E-05
1237645943973609667,0.223789
1237645943973609726,0.1882468
1237645943973609729,0.9596722
1237645943973609737,1.248642
1237645943973609738,1.528805
1237645943973609779,0.5303158
1237645943973609927,0.1886894
1237645943973609931,0.9722549
1237645943973609957,0.1562618
1237645943973609994,0.5295813
1237645943973610015,0.838605
1237645943973610075,1.273766
1237645943973610080,0.2834576
1237645943973610108,0.6564389
1237645943973610114,0.6902823
1237645943973610128,0.6350201
1237645943973610187,0.6892225
1237645943973610217,0.5322651
1237645943973610229,0.7316579
1237645943973610236,0.888149
1237645943973610257,0.8404443
1237645943973610397,0.7682889
1237645943973675064,0.0002223217
1237645943973675097,0.07472415
